Time (s),power (dB),amplitude (real),amplitude (imag)
-4.057954812897152e-05,-56.951141019670246,-4.320735965035134e-09,3.9096597904877494e-10
-4.055954342198164e-05,-57.43587462479283,4.0826972983829e-09,-4.0673625205018124e-10
-4.053953871499176e-05,-57.7939018346309,-3.929004592760455e-09,2.543118415133683e-10
-4.0519534008001876e-05,-57.76241762990455,3.950999238093037e-09,-6.438168434620359e-11
-4.0499529301012e-05,-57.44945294669759,-4.0964778253891e-09,-1.3106576202048401e-11
-4.047952459402212e-05,-57.20159451142081,4.214673481961563e-09,-5.849118717893459e-11
-4.045951988703224e-05,-57.22139754494279,-4.202025154138911e-09,1.7043773702348315e-10
-4.043951518004236e-05,-57.42019532626418,4.106186541870663e-09,-1.8430586162845387e-10
-4.041951047305248e-05,-57.498704393954,-4.072501060949893e-09,8.248065341136247e-11
-4.03995057660626e-05,-57.26733248364724,4.183290394470566e-09,8.232475079458828e-12
-4.037950105907272e-05,-56.90585524014807,-4.360763753538731e-09,5.1392140590707296e-11
-4.035949635208284e-05,-56.741675158664066,4.436383841616448e-09,-2.6486059111872434e-10
-4.033949164509296e-05,-56.95100753557983,-4.311010063271675e-09,4.872211180084626e-10
-4.031948693810308e-05,-57.48037714277436,4.044691831815262e-09,-5.501840613786333e-10
-4.02994822311132e-05,-58.044391633549054,-3.804830123032199e-09,3.9523984445671083e-10
-4.027947752412332e-05,-58.229730663200456,3.743060642190272e-09,-1.0539100917002199e-10
-4.0259472817133436e-05,-57.85259437003904,-3.907517835285319e-09,-1.5801108322914613e-10
-4.023946811014356e-05,-57.16416149113971,4.2263015448291305e-09,2.4304028232692335e-10
-4.021946340315368e-05,-56.55715484544589,-4.539024955632304e-09,-7.863712348637214e-11
-4.01994586961638e-05,-56.30731734716784,4.663969324113827e-09,-2.768765662983372e-10
-4.017945398917392e-05,-56.545734106437465,-4.500779757763931e-09,6.373225295765172e-10
-4.015944928218404e-05,-57.24415695275795,4.121121035601979e-09,-7.810144724660897e-10
-4.013944457519416e-05,-58.09479085139566,-3.754529981664821e-09,6.063165916003343e-10
-4.011943986820428e-05,-58.46538120313204,3.63721947969585e-09,-2.2737073873021763e-10
-4.00994351612144e-05,-58.02890842260615,-3.830867307056936e-09,-9.830615343133438e-11
-4.007943045422452e-05,-57.27383900915282,4.176791622358123e-09,1.6792704349918875e-10
-4.005942574723464e-05,-56.76111414968591,-4.434311506227223e-09,1.7985825885737863e-11
-4.003942104024476e-05,-56.66864548556211,4.472543618845853e-09,-2.8801480004372766e-10
-4.001941633325488e-05,-56.89689273010478,-4.340815509767317e-09,4.642328086198449e-10
-3.9999411626265e-05,-57.21610145551338,4.17919558514079e-09,-4.919039074304712e-10
-3.997940691927512e-05,-57.423341251119126,-4.085981634556956e-09,4.327319489305796e-10
-3.995940221228524e-05,-57.47574886690421,4.067197016226922e-09,-3.7136148668009284e-10
-3.993939750529536e-05,-57.4597314320103,-4.076995175390962e-09,3.46039308869805e-10
-3.991939279830548e-05,-57.4664971139795,4.073813059847098e-09,-3.45860189920605e-10
-3.98993880913156e-05,-57.53036720802851,-4.0444927951887565e-09,3.3707447797285045e-10
-3.987938338432572e-05,-57.61327529766635,4.00981738315784e-09,-2.8537976141107295e-10
-3.985937867733584e-05,-57.59612787501524,-4.0236927739828345e-09,1.8413343580962126e-10
-3.983937397034596e-05,-57.35362554479167,4.141005851469343e-09,-8.814155041821378e-11
-3.981936926335608e-05,-56.929159411800214,-4.348132353847543e-09,1.042348548202613e-10
-3.9799364556366204e-05,-56.570502316148975,4.522534652616526e-09,-3.0392441234775015e-10
-3.977935984937632e-05,-56.550879127676524,-4.50042582534566e-09,6.204038523537393e-10
-3.975935514238644e-05,-57.006394174117474,4.22587310326762e-09,-8.518619942735702e-10
-3.973935043539656e-05,-57.82332547887381,-3.8397277189407924e-09,8.08438348505136e-10
-3.971934572840668e-05,-58.50106652318178,3.597190252852045e-09,-4.822902838164903e-10
