Time (s),power (dB),amplitude (real),amplitude (imag)
-4.137973640856672e-05,-57.59465334622362,-3.105628174107698e-09,-1.446491511521081e-10
-4.135973170157684e-05,-57.436427459686456,3.161427461485729e-09,1.728417636524774e-10
-4.133972699458696e-05,-57.28211539721181,-3.2189317972426103e-09,-1.5989570890175047e-10
-4.131972228759708e-05,-57.19483399520084,3.2534154921155505e-09,1.1506638771569097e-10
-4.12997175806072e-05,-57.20503465063348,-3.251070205871233e-09,-6.026627586320277e-11
-4.127971287361732e-05,-57.30523651700943,3.2142641420302373e-09,2.103278255911429e-11
-4.1259708166627436e-05,-57.45193223648627,-3.1604606519008295e-09,-1.617460422686296e-11
-4.1239703459637556e-05,-57.57609538766974,3.1152424265823345e-09,5.006137709018475e-11
-4.1219698752647675e-05,-57.608388113296854,-3.1021150812324425e-09,-1.1050492341986893e-10
-4.11996940456578e-05,-57.51468031771111,3.1329762466298624e-09,1.7306065203586372e-10
-4.117968933866792e-05,-57.31756923779716,-3.2028851465127095e-09,-2.1015462509271213e-10
-4.115968463167804e-05,-57.083818827602556,3.2911547686214862e-09,2.0162329282459915e-10
-4.113967992468816e-05,-56.890731055775404,-3.3684234738231537e-09,-1.4271497387658386e-10
-4.111967521769828e-05,-56.798467189751506,3.4071308835060495e-09,4.653874670188202e-11
-4.10996705107084e-05,-56.83772057751227,-3.3915537958068564e-09,5.999895512488731e-11
-4.107966580371852e-05,-57.00627802551537,3.323717019001503e-09,-1.4532647577400967e-10
-4.105966109672864e-05,-57.267665835893325,-3.22301268974938e-09,1.8410472651256491e-10
-4.103965638973876e-05,-57.5526138044674,3.119667959951179e-09,-1.6595460362469513e-10
-4.1019651682748877e-05,-57.772332967131916,-3.044437284291891e-09,9.88936442411151e-11
-4.0999646975758996e-05,-57.85196011856016,3.0182397323463482e-09,-6.310058587739967e-12
-4.0979642268769115e-05,-57.77098098303128,-3.04543100219056e-09,-8.134620325951906e-11
-4.095963756177924e-05,-57.57498793456756,3.113024830424082e-09,1.3708971550586443e-10
-4.093963285478936e-05,-57.34586376069535,-3.195984733845225e-09,-1.4634116469750468e-10
